season,reg_w,reg_l,reg_t,post_w,post_l,post_t
1921,3,2,1,0,0,0
1922,4,3,3,0,0,0
1923,7,2,1,0,0,0
1924,7,4,0,0,0,0
1925,8,5,0,0,0,0
1926,7,3,3,0,0,0
1927,7,2,1,0,0,0
1928,6,4,3,0,0,0
1929,12,0,1,0,0,0
1930,10,3,1,0,0,0
1931,12,2,0,0,0,0
1932,10,3,1,0,0,0
1933,5,7,1,0,0,0
1934,7,6,0,0,0,0
1935,8,4,0,0,0,0
1936,10,1,1,1,0,0
1937,7,4,0,0,0,0
1938,8,3,0,0,1,0
1939,9,2,0,1,0,0
1940,6,4,1,0,0,0
1941,10,1,0,0,1,0
1942,8,2,1,0,0,0
1943,7,2,1,0,0,0
1944,8,2,0,1,0,0
1945,6,4,0,0,0,0
1946,6,5,0,0,0,0
1947,6,5,1,0,0,0
1948,3,9,0,0,0,0
1949,2,10,0,0,0,0
1950,3,9,0,0,0,0
1951,3,9,0,0,0,0
1952,6,6,0,0,0,0
1953,2,9,1,0,0,0
1954,4,8,0,0,0,0
1955,6,6,0,0,0,0
1956,4,8,0,0,0,0
1957,3,9,0,0,0,0
1958,1,10,1,0,0,0
1959,7,5,0,0,0,0
1960,8,4,0,0,1,0
1961,11,3,0,1,0,0
1962,13,1,0,1,0,0
1963,11,2,1,0,0,0
1964,8,5,1,0,0,0
1965,10,3,1,2,0,0
1966,12,2,0,2,0,0
1967,9,4,1,3,0,0
1968,6,7,1,0,0,0
1969,8,6,0,0,0,0
1970,6,8,0,0,0,0
1971,4,8,2,0,0,0
1972,10,4,0,0,1,0
1973,5,7,2,0,0,0
1974,6,8,0,0,0,0
1975,4,10,0,0,0,0
1976,5,9,0,0,0,0
1977,4,10,0,0,0,0
1978,8,7,1,0,0,0
1979,5,11,0,0,0,0
1980,5,10,1,0,0,0
1981,8,8,0,0,0,0
1982,5,3,1,1,1,0
1983,8,8,0,0,0,0
1984,8,8,0,0,0,0
1985,8,8,0,0,0,0
1986,4,12,0,0,0,0
1987,5,9,1,0,0,0
1988,4,12,0,0,0,0
1989,10,6,0,0,0,0
1990,6,10,0,0,0,0
1991,4,12,0,0,0,0
1992,9,7,0,0,0,0
1993,9,7,0,1,1,0
1994,9,7,0,1,1,0
1995,11,5,0,2,1,0
1996,13,3,0,3,0,0
1997,13,3,0,2,1,0
1998,11,5,0,0,1,0
1999,8,8,0,0,0,0
2000,9,7,0,0,0,0
2001,12,4,0,1,1,0
2002,12,4,0,0,1,0
2003,10,6,0,1,1,0
2004,10,6,0,0,1,0
2005,4,12,0,0,0,0
2006,8,8,0,0,0,0
2007,13,3,0,1,1,0
2008,6,10,0,0,0,0
2009,11,5,0,0,1,0
2010,10,6,0,4,0,0
2011,15,1,0,0,1,0
2012,11,5,0,1,1,0
2013,8,7,1,0,1,0
2014,12,4,0,1,1,0
2015,10,6,0,1,1,0
2016,10,6,0,2,1,0
2017,7,9,0,0,0,0
2018,6,9,1,0,0,0
2019,13,3,0,1,1,0
2020,13,3,0,1,1,0
2021,13,4,0,0,1,0
2022,8,9,0,0,0,0
2023,9,8,0,1,1,0
2024,11,6,0,0,1,0
2025,9,7,1,0,1,0
